product_ndc,generic_name,brand_name,manufacturer_name,dosage_form,route,strength,strength_unit,description
74149-107,ALCOHOL,Signature Care Advanced Hand Sanitizer With Aloe,"Yiwu Yangjie Daily Chemicals Co.,Ltd.",GEL,TOPICAL,70,mL,
73408-934,"bacitracin zinc, neomycin sulfate, polymyxin b sulfate",Crane Safety Triple Antibiotic,Crane Safety LLC,OINTMENT,TOPICAL,400,[USP'U],
73581-020,Diphenhydramine HCL,Allergy Relief Diphenhydramine HCL 50 MG,YYBA Corporation,CAPSULE,ORAL,50,mg,
73656-038,SODIUM MONOFLUOROPHOSPHATE,Optimax Professional Whitening Anticavity Fluoride,WHITE GLO USA INC,KIT,,,,
72542-300,sodium phenylbutyrate,OLPRUVA,Acer Therapeutics Inc.,KIT,ORAL,,,
72578-201,Diltiazem hydrochloride,Diltiazem hydrochloride,Viona Pharmaceuticals Inc,TABLET,ORAL,90,mg,
72603-358,Pregabalin,Pregabalin,NorthStar RxLLC,CAPSULE,ORAL,300,mg,
0065-0481,propylene glycol,Systane COMPLETE,"Alcon Laboratories, Inc.",EMULSION,OPHTHALMIC,.06,mg,
0527-2133,Posaconazole,POSACONAZOLE,Lannett Company Inc.,"TABLET, DELAYED RELEASE",ORAL,100,mg,
72789-372,Propranolol Hydrochloride,Propranolol Hydrochloride,"PD-Rx Pharmaceuticals, Inc.",TABLET,ORAL,40,mg,
72819-160,paliperidone,Paliperidone,Archis Pharma LLC,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,9,mg,
72865-142,LOSARTAN POTASSIUM,LOSARTAN POTASSIUM,"XLCare Pharmaceuticals, Inc.","TABLET, FILM COATED",ORAL,50,mg,
72888-098,POTASSIUM CHLORIDE,POTASSIUM CHLORIDE,Advagen Pharma Ltd.,"TABLET, EXTENDED RELEASE",ORAL,1125,mg,
72988-0030,Xylometazoline Hydrochloride,Metarivin Soln. 0.1%,"Lydia Co., Ltd.",LIQUID,NASAL,1,mg,
73088-109,Zinc Oxide SPF 50,Mineral Sunscreen,Tubby Todd,CREAM,TOPICAL,19.6,g,
73291-0001,"Zinc Oxide, Titanium Dioxide",sunbetter Broad Spectrum SPF 68 Sunscreen Compact Tone Smart,SKINBETTER SCIENCE LLC,STICK,TOPICAL,84,mg,
75124-0007,Chlorine Dioxide(ClO2),PURE O2 S,Pure O2,LIQUID,TOPICAL,.005,g,
75826-121,Dextroamphetamine Sulfate,Dextroamphetamine Sulfate,Winder Laboratories LLC,TABLET,ORAL,5,mg,
75907-344,Metoprolol succinate,Metoprolol succinate,Dr. Reddy's Laboratories Inc,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,25,mg,
76151-105,"OCTINOXATE, AVOBENZONE",Oil-Free Daily Hydration SPF 15,Boscia LLC,CREAM,TOPICAL,30,mg,
76281-558,BISMUTH SUBSALICYLATE,"Stomach Relief, Maximum Strength",AptaPharma Inc.,SUSPENSION,ORAL,1050,mg,
76329-3369,Naloxone Hydrochloride,Naloxone Hydrochloride,"International Medication Systems, Limited",INJECTION,PARENTERAL,1,mg,
76354-777,"ZINC OXIDE, TITANIUM DIOXIDE, HOMOSALATE, OCTISALATE, OCTOCRYLENE",Hydrating Camo CC Cream SPF30 Light 240 W,"e.l.f. Cosmetics, Inc.",CREAM,TOPICAL,50,mg,
55758-310,Ibuprofen,Dolex Flex,Pharmadel LLC,"CAPSULE, LIQUID FILLED",ORAL,200,mg,
55910-513,ibuprofen,dg health ibuprofen,Dolgencorp Inc,"CAPSULE, LIQUID FILLED",ORAL,200,mg,
0220-4370,RHEUM OFFICINALE ROOT,RHEUM OFFICINALE,Boiron,PELLET,ORAL,200,[kp_C],
56152-5000,Salicylic Acid,Clear Acne Body Paulas Choice,Cosmetic Enterprises Ltd,SPRAY,TOPICAL,2,g,
0220-4506,SAW PALMETTO,Sabal serrualata,Boiron,PELLET,ORAL,3,[hp_C],
57687-276,Water,Bach Original Flower Remedies,Nelson Bach USA Limited,SOLUTION,ORAL,5,[hp_X],
57962-007,Ibrutinib,Imbruvica,Pharmacyclics LLC,SUSPENSION,ORAL,70,mg,
57337-037,Dimethicone,XtraCare Skin Relief Oatmeal Daily Moisturizing,Rejoice International,LOTION,TOPICAL,5,mg,
58228-8691,Hand Sanitizer,Hand Sanitizer,ProStat First Aid LLC,GEL,TOPICAL,70,mL,
58264-0312,"Beef, Pork, Lamb, Chicken, and Turkey",A-20,"DNA Labs, Inc.",SOLUTION,SUBLINGUAL,30,[hp_X],
58411-491,OCTINOXATE and TITANIUM DIOXIDE,SHISEIDO SYNCHRO SKIN SELF-REFRESHING FOUNDATION 220 LINEN,SHISEIDO AMERICAS CORPORATION,EMULSION,TOPICAL,1.69,g,
58411-938,TITANIUM DIOXIDE,CLE DE PEAU BEAUTE RADIANT FLUID FOUNDATION MATTE M BF60,Shiseido Americas Corporation,CREAM,TOPICAL,2.73735,g,
58602-716,Cetirizine Hydrochloride,Cetirizine Hydrochloride (Allergy),Aurohealth LLC,CAPSULE,ORAL,10,mg,
58668-1618,"HOMOSALATE,OCTOCRYLENE,OXYBENZONE,TITANIUM DIOXIDE",CLARINS UV PLUS ANTI-POLLUTION SUNSCREEN MULTI-PROTECTION BROAD SPECTRUM SPF 50 Oil-Free -LIGHT,Laboratoires Clarins,CREAM,TOPICAL,40,mg,
59050-554,POVIDONE-IODINE,Povidone-Iodine Solution Sterile,"Changzhou Maokang Medical Products Co., Ltd",LIQUID,TOPICAL,100,mg,
59137-520,methotrexate,Rasuvo,Medexus Pharma Inc.,"INJECTION, SOLUTION",SUBCUTANEOUS,15,mg,
55150-158,Lidocaine Hydrochloride,Lidocaine Hydrochloride,Eugia US LLC,"INJECTION, SOLUTION","EPIDURAL, INFILTRATION, INTRACAUDAL, PERINEURAL",10,mg,
55150-451,MITOMYCIN,MITOMYCIN,Eugia US LLC,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,20,mg,
55154-4319,clonazepam,Clonazepam,"Cardinal Health 107, LLC",TABLET,ORAL,1,mg,
55154-9585,HEPARIN SODIUM,Heparin Sodium,"Cardinal Health 107, LLC","INJECTION, SOLUTION","INTRAVENOUS, SUBCUTANEOUS",5000,[USP'U],
55301-947,Salicylic Acid 2%,Oil Free Acne Wash,Your Military Exchanges,LOTION,TOPICAL,20,mg,
55319-991,TOLNAFTATE,Family Wellness Athletes Foot Tolnaftate 1 Cream,"Family Dollar Stores, Inc",CREAM,TOPICAL,10,mg,
55621-007,"DIPHENHYDRAMINE HYDROCHLORIDE, ZINC ACETATE",Family Wellness,"Zhejiang Jingwei Pharmaceutical Co., Ltd.",CREAM,TOPICAL,2,g,
