product_ndc,generic_name,brand_name,manufacturer_name,dosage_form,route
68382-525,bumetanide,bumetanide,Zydus Pharmaceuticals (USA) Inc.,TABLET,ORAL
68400-135,Sodium Fluoride,Gelato APF,"Mycone Dental Supply Co., Inc DBA Keystone Industries and Deepak Products Inc.",GEL,DENTAL
69423-389,"Avobenzone, Homosalate, Octisalate, Octocrylene, and Oxybenzone",Olay Total Effects Moisturizer Broad Spectrum SPF 30,The Procter & Gamble Manufacturing Company,LOTION,TOPICAL
69423-882,Sodium Fluoride,Crest Pro Health Densify Rinse,The Procter & Gamble Manufacturing Company,RINSE,ORAL
69452-405,Loperamide Hydrochloride oral,Loperamide Hydrochloride,Bionpharma Inc.,SOLUTION,ORAL
69557-333,celecoxib,ELYXYB - celecoxib,SCILEX PHARMACEUTICALS INC.,LIQUID,ORAL
69680-145,Pramipexole Dihydrochloride,Pramipexole Dihydrochloride Extended-Release,"Vitruvias Therapeutics, Inc.","TABLET, EXTENDED RELEASE",ORAL
68788-8523,Cetirizine hydrochloride,Cetirizine Hydrochloride,Preferred Pharmaceuticals Inc.,SOLUTION,ORAL
68788-8804,SILDENAFIL CITRATE,SILDENAFIL CITRATE,Preferred Pharmaceuticals Inc.,TABLET,ORAL
0363-4262,"Camphor, Menthol",Walgreen Anti Itch,Walgreens,LOTION,TOPICAL
68788-8136,Ciprofloxacin Hydrochloride,Ciprofloxacin,Preferred Pharmaceuticals Inc.,"TABLET, FILM COATED",ORAL
68828-802,"Homosalate, Octisalate, Zinc Oxide",Always Liquid Foundation Makeup Sunscreen Broad Spectrum SPF 15 - Golden Tan,"Distribuidora Comercial Jafra, S.A. de C.V.",LIQUID,TOPICAL
69039-729,"AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE",Sun Bum Kids 50 Clear Sunscreen Face Stick,"Sun Bum, LLC",STICK,TOPICAL
69097-686,TAVABOROLE,TAVABOROLE,Cipla USA Inc.,SOLUTION,TOPICAL
69168-263,Diphenhydramine HCl 25 mg,Sleep Aid,Allegiant Health,TABLET,ORAL
69238-1310,Pregabalin,Pregabalin,Amneal Pharmaceuticals NY LLC,CAPSULE,ORAL
69256-466,"Acetaminophen, Dextromethorphan Hydrobromide, Phenylephrine Hydrochloride",Daytime Cold and Flu Non drowsy,"Harris Teeter, LLC",LIQUID,ORAL
69315-285,ETRAVIRINE,ETRAVIRINE,"Leading Pharma, LLC",TABLET,ORAL
69367-388,Amitriptyline Hydrochloride,Amitriptyline Hydrochloride,"Westminster Pharmaceuticals, LLC","TABLET, COATED",ORAL
70484-007,Hydrocortisone,Post-Treatment Repair Cream,Vi Medical Products Inc.,CREAM,TOPICAL
70518-1192,Alendronate sodium,ALENDRONATE SODIUM,REMEDYREPACK INC.,TABLET,ORAL
70518-2402,Valacyclovir,Valacyclovir,REMEDYREPACK INC.,"TABLET, FILM COATED",ORAL
70518-3430,Paroxetine,Paroxetine,REMEDYREPACK INC.,"TABLET, FILM COATED",ORAL
70518-4014,bupropion hydrochloride,Bupropion Hydrochloride XL,REMEDYREPACK INC.,"TABLET, EXTENDED RELEASE",ORAL
69842-443,Phenylephrine Hydrochloride,Extra Strength Nasal,CVS PHARMACY,SPRAY,NASAL
84549-064,MAGNESIUM SULFATE HEPTAHYDRATE,Magnesium Sulfate,ProPharma Distribution,"INJECTION, SOLUTION","INTRAMUSCULAR, INTRAVENOUS"
90112-3000,anifrolumab,,AstraZeneca Nijmegen B.V.,"INJECTION, SOLUTION",
11673-667,"Camphor, Eucalyptus oil, Menthol",cough suppressant and topical analgesic,Target Corporation,OINTMENT,TOPICAL
11788-137,Captopril,Captopril,"AiPing Pharmaceutical, Inc.",TABLET,ORAL
