product_ndc,generic_name,brand_name,manufacturer_name,dosage_form,route
67296-2248,Montelukast,Montelukast,Redpharm Drug,TABLET,ORAL
0363-0364,"AVOBENZONE, OCTISALATE, OCTOCRYLENE",Walgreens Broad Spectrum SPF 40 Radiant Facial Sunscreen,WALGREEN COMPANY,CREAM,TOPICAL
68462-480,CLOBETASOL PROPIONATE,CLOBETASOL PROPIONATE,"Glenmark Pharmaceuticals Inc., USA",SPRAY,TOPICAL
68479-872,"Octocrylene, Homosalate, Octisalate, and Avobenzone",CLEARING DEFENSE SPF30,"Dermalogica, LLC.",LOTION,TOPICAL
68599-4681,Pain reliever,Acetaminophen,McKesson,TABLET,ORAL
68703-386,"Alliu cepa, Calc phos, Euphrasia, Ignatia, Kali mur, Nat mur, Nux vom, Pulsatilla, Silica",Mucus Clear Allergy Relief,Silver Star Brands,LIQUID,ORAL
68071-3814,Levothyroxine Sodium,Levothyroxine Sodium,"NuCare Pharmaceuticals, Inc.",TABLET,ORAL
68071-1670,albuterol sulfate,VENTOLIN HFA,"NuCare Pharmaceuticals,Inc.","AEROSOL, METERED",RESPIRATORY (INHALATION)
68071-2746,Simethicone,SIMETHICONE,"NuCare Pharmaceuticals,Inc.","TABLET, CHEWABLE",ORAL
68071-3563,Ziprasidone Hydrochloride,Ziprasidone Hydrochloride,"NuCare Pharmaceuticals,Inc.",CAPSULE,ORAL
68071-4293,Nystatin,Nystatin,"NuCare Pharmaceuticals,Inc.",CREAM,TOPICAL
68071-5017,GABAPENTIN,GABAPENTIN,"NuCare Pharmaceuticals,Inc.",CAPSULE,ORAL
68083-177,Oxaliplatin,Oxaliplatin,Gland Pharma Limited,"INJECTION, SOLUTION",INTRAVENOUS
68084-155,Promethazine Hydrochloride,Promethazine Hydrochloride,American Health Packaging,TABLET,ORAL
68135-181,vosoritide,VOXZOGO 1.2mg,BioMarin Pharmaceutical Inc.,KIT,
68180-557,Quinapril,Quinapril,"Lupin Pharmaceuticals, Inc.",TABLET,ORAL
68210-4090,Fexofenadine Hydrochloride,Fexofenadine Hydrochloride,SPIRIT PHARMACEUTICALS LLC,"TABLET, FILM COATED",ORAL
68382-524,Propafenone Hydrochloride,Propafenone Hydrochloride,Zydus Pharmaceuticals (USA) Inc.,"CAPSULE, EXTENDED RELEASE",ORAL
68400-122,Sodium Fluoride,Gelato APF,"Mycone Dental Supply Co., Inc DBA Keystone Industries and Deepak Products Inc.",GEL,DENTAL
69423-388,"Avobenzone, Homosalate, Octisalate, and Octocrylene",Olay Total Effects Moisturizer with Sunscreen Broad Spectrum SPF 15 Fragrance-Free,The Procter & Gamble Manufacturing Company,LOTION,TOPICAL
69423-881,Sodium Fluoride,Crest Braces Care Anticavity Fluoride Rinse,The Procter & Gamble Manufacturing Company,RINSE,ORAL
69452-398,magnesium citrate oral solution,Magnesium Citrate,"Bionpharma, Inc.",LIQUID,ORAL
69557-222,Colchicine,Gloperba,Scilex Pharmaceuticals Inc.,SOLUTION,ORAL
69680-132,propafenone,Propafenone Hydrochloride,Vitruvias Therapeutics,"CAPSULE, EXTENDED RELEASE",ORAL
0363-5191,Ethyl Alcohol,Walgreens PEAR Hand Sanitizer Mist,Walgreen Co.,SPRAY,TOPICAL
0363-5558,Sodium Chloride,Sterile Saline Mist Walgreens,WALGREEN COMPANY,SPRAY,NASAL
68788-7194,Desvenlafaxine Succinate,Desvenlafaxine,"Preferred Pharmaceutical, Inc.","TABLET, EXTENDED RELEASE",ORAL
0363-4666,Pyrithione Zinc,Walgreens Dandruff Plus Conditioner 2 in 1 Dry Scalp Anti-dandruff,Walgreen Company,SHAMPOO,TOPICAL
68828-801,"Homosalate, Octisalate, Zinc Oxide",Always Liquid Foundation Makeup Sunscreen Broad Spectrum SPF 15 - Natural Tan,"Distribuidora Comercial Jafra, S.A. de C.V",LIQUID,TOPICAL
69039-728,Zinc Oxide,Sun Bum 50 Mineral Sunscreen,"Sun Bum, LLC",LOTION,TOPICAL
69097-685,"PREGABALIN capsules, CV","PREGABALIN capsules, CV",Cipla USA Inc.,CAPSULE,ORAL
69168-248,Loperamide HCl,Anti-Diarrheal,Allegiant Health,"TABLET, COATED",ORAL
69238-1306,CLOBAZAM,CLOBAZAM,Amneal Pharmaceuticals NY LLC,TABLET,ORAL
69256-413,Zinc Oxide,Harris Teeter Calamine,"Harris Teeter, LLC.",LIQUID,TOPICAL
69315-284,"ESTERIFIED ESTROGENS, METHYLTESTOSTERONE",ESTERIFIED ESTROGENS AND METHYLTESTOSTERONE,"Leading Pharmaceuticals, LLC",TABLET,ORAL
69367-387,Ciprofloxacin Hydrochloride,Ciprofloxacin Hydrochloride,"Westminster Pharmaceuticals, LLC","TABLET, FILM COATED",ORAL
0378-4623,estradiol,Estradiol,Mylan Pharmaceuticals Inc.,PATCH,TRANSDERMAL
70518-1184,Sumatriptan Succinate,Sumatriptan,REMEDYREPACK INC.,TABLET,ORAL
70518-2395,Warfarin,Warfarin Sodium,REMEDYREPACK INC.,TABLET,ORAL
70518-3429,Quetiapine Fumarate,Quetiapine Fumarate,REMEDYREPACK INC.,"TABLET, FILM COATED",ORAL
70518-4013,Levetiracetam,Levetiracetam,REMEDYREPACK INC.,TABLET,ORAL
69842-442,Acetaminophen Dextromethorphan HBr Guaifenesin Phenylephrine HCl And Acetaminophen Dextromethorphan HBr Doxylamine Succinate Phenylephrine HCl,MAXIMUM STRENGTH DAYTIME NIGHTTIME SINUS RELIEF,"CVS Pharmacy, Inc.",KIT,
69842-893,DOCUSATE SODIUM,Stool Softener Laxative,CVS Pharmacy,"CAPSULE, LIQUID FILLED",ORAL
69949-155,Zinc Oxide,IMPECCABLE SKIN - BRONZE,"Synchronicity Spa, Inc. DBA Suntegrity",CREAM,TOPICAL
69779-001,"Calc Phos, Carpinus betulus, flos, Ferrum Phos, Kali Phos, Nat Mur, Nat Sulph, Olea europaea, flos, Silicea, Sinapis arvensis, flos",blood sugar,"Siddha Flower Essences, LLC",SPRAY,ORAL
69968-0787,Sodium Fluoride,Listerine Total Care Fresh Mint Anticavity Fluoride,Kenvue Brands LLC,MOUTHWASH,ORAL
70000-0035,Aspirin,Aspirin Regular Strength,"Cardinal Health 110, LLC. DBA Leader","TABLET, DELAYED RELEASE",ORAL
70000-0571,Ibuprofen,Ibuprofen,Cardinal Health (Leader) 70000,"CAPSULE, LIQUID FILLED",ORAL
70010-187,LOSARTAN POTASSIUM AND HYDROCHLOROTHIAZIDE,LOSARTAN POTASSIUM AND HYDROCHLOROTHIAZIDE,Granules Pharmaceuticals Inc.,"TABLET, FILM COATED",ORAL
70069-815,Esomeprazole magnesium,Esomeprazole Magnesium,"Somerset Therapeutics, LLC","CAPSULE, DELAYED RELEASE",ORAL
70108-280,Ethyl Alcohol,Smart Care CHAMPAGNE TOAST HAND SANITIZER,"Ashtel Studios, Inc.",SPRAY,TOPICAL
0378-3458,Azelastine Hydrochloride and Fluticasone Propionate,Azelastine Hydrochloride and Fluticasone Propionate,Mylan Pharmaceuticals Inc.,"SPRAY, METERED",NASAL
0378-4275,valacyclovir,Valacyclovir Hydrochloride,Mylan Pharmaceuticals Inc.,"TABLET, FILM COATED",ORAL
71173-2000,"Glycerin, Niacinamide, Nelumbo Nucifera Flower Extract, Portulaca Oleracea Extract",BUDDATE LOTUS MOISTURE ESSENCE,BUDDATE Co Ltd,LIQUID,TOPICAL
71205-285,Methocarbamol,Methocarbamol,Proficient Rx LP,"TABLET, FILM COATED",ORAL
71205-579,Diclofenac Sodium,Diclofenac Sodium,Proficient Rx LP,SOLUTION,TOPICAL
71205-841,PERPHENAZINE,PERPHENAZINE,Proficient Rx LP,"TABLET, FILM COATED",ORAL
70677-0046,Ibuprofen,Ibuprofen,Strategic Sourcing Services LLC,"CAPSULE, LIQUID FILLED",ORAL
70518-4343,bupropion hydrochloride,bupropion hydrochloride,REMEDYREPACK INC.,"TABLET, EXTENDED RELEASE",ORAL
70518-4576,Fluoxetine,Fluoxetine,REMEDYREPACK INC.,CAPSULE,ORAL
70677-1242,ACETAMINOPHEN,EXTRA STRENGTH PAIN RELEIF,"Strategic Sourcing Services, LLC","TABLET, FILM COATED",ORAL
70709-085,Dichlorphenamide,ORMALVI,Cycle Pharmaceuticals Ltd.,TABLET,ORAL
70710-1738,icosapent ethyl,icosapent ethyl,Zydus Pharmaceuticals USA Inc.,CAPSULE,ORAL
70752-125,BENZTROPINE MESYLATE,BENZTROPINE MESYLATE,QUAGEN PHARMACEUTICALS LLC,TABLET,ORAL
70771-1044,perphenazine,perphenazine,Zydus Lifesciences Limited,TABLET,ORAL
70771-1559,Isotretinoin,Isotretinoin,Zydus Lifesciences Limited,CAPSULE,ORAL
70771-1931,Diltiazem hydrochloride,Diltiazem hydrochloride,Zydus Lifesciences Limited,TABLET,ORAL
70954-508,Alprazolam,Alprazolam,"ANI Pharmaceuticals, Inc.",TABLET,ORAL
71101-025,LIDOCAINE,OTC Rescue Lidocaine Pain Relief Patch,Veridian Healthcare,PATCH,TOPICAL
71610-006,Tramadol Hydrochloride,Tramadol Hydrochloride,"Aphena Pharma Solutions - Tennessee, LLC","TABLET, FILM COATED",ORAL
71610-499,Guaifenesin,Mucus Relief,"Aphena Pharma Solutions - Tennessee, LLC","TABLET, EXTENDED RELEASE",ORAL
71610-776,tizanidine,tizanidine,"Aphena Pharma Solutions - Tennessee, LLC",TABLET,ORAL
71630-966,Zinc Oxide,doTERRA sun,"doTERRA International, LLC",LOTION,TOPICAL
50090-3963,Etodolac,Etodolac,A-S Medication Solutions,"TABLET, FILM COATED",ORAL
50090-5110,Rosuvastatin Calcium,Rosuvastatin Calcium,A-S Medication Solutions,"TABLET, FILM COATED",ORAL
50090-5745,Rosuvastatin Calcium,Rosuvastatin Calcium,A-S Medication Solutions,"TABLET, FILM COATED",ORAL
50090-7534,METFORMIN HYDROCHLORIDE,METFORMIN HYDROCHLORIDE,A-S Medication Solutions,"TABLET, EXTENDED RELEASE",ORAL
50090-6226,azithromycin,AZITHROMYCIN,A-S Medication Solutions,"POWDER, FOR SUSPENSION",ORAL
50090-6607,Glyburide,Glyburide,A-S Medication Solutions,TABLET,ORAL
50090-6928,Aspirin,Aspirin Low Dose,A-S Medication Solutions,"TABLET, DELAYED RELEASE",ORAL
50090-7257,"dextromethorphan hydrobromide, guaifenesin",good sense tussin dm,A-S Medication Solutions,SOLUTION,ORAL
50090-7794,Losartan Potassium,Losartan Potassium,A-S Medication Solutions,"TABLET, FILM COATED",ORAL
50227-1004,Benzocaine,Patterson Dental Topical Anesthetic,Patterson Dental,GEL,DENTAL
50242-082,RANIBIZUMAB,LUCENTIS,"Genentech, Inc.","INJECTION, SOLUTION",INTRAVITREAL
50268-450,Itraconazole,Itraconazole,AvPAK,CAPSULE,ORAL
50991-214,"Dextromethorphan HBr, Guaifenesin and Pseudoephedrine HCl",Poly-Vent DM,"Poly Pharmaceuticals, Inc.",TABLET,ORAL
51079-572,trifluoperazine hydrochloride,Trifluoperazine Hydrochloride,Mylan Institutional Inc.,"TABLET, FILM COATED",ORAL
51316-089,"acetaminophen, dextromethorphan hydrobromide, guaifenesin",CVS PHARMACY MS Adult Severe Multi Symptom Cough Cold Flu,CVS PHARMACY,LIQUID,ORAL
0220-1941,SYZYGIUM JAMBOS SEED,Eugenia jambosa,Boiron,PELLET,ORAL
52000-012,Menthol and Camphor and Eucalyptus Oil,Vaporizing Chest Rub,Universal Distribution Center LLC,GEL,TOPICAL
52301-303,"Valerian Root, Passiflora, Magnesium Carbonate",Formula 303,Dee Cee Laboratories,TABLET,ORAL
52642-043,Menthol,Cherry Cough Drops,Bestco Inc.,LOZENGE,ORAL
53041-171,Calcium carbonate,Guardian Ultra Strength Antacid Assorted Fruit,Guardian Drug Company,"TABLET, CHEWABLE",ORAL
51655-066,Benazepril Hydrochloride,Benazepril Hydrochloride,"Northwind Health Company, LLC","TABLET, COATED",ORAL
51655-534,Metoprolol Tartrate,Metoprolol Tartrate,"Northwind Health Company, LLC","TABLET, FILM COATED",ORAL
51407-027,Methazolamide,Methazolamide,"Golden State Medical Supply, Inc.",TABLET,ORAL
0220-2113,FERROUS SULFATE,FERRUM SULPHURICUM,Boiron,PELLET,ORAL
51407-964,VERAPAMIL HYDROCHLORIDE,VERAPAMIL HYDROCHLORIDE,"Golden State Medical Supply, Inc.",TABLET,ORAL
51660-423,ibuprofen and pseudoephedrine hydrochloride,Ibuprofen and Pseudoephedrine hydrochloride,Ohm Laboratories Inc.,"TABLET, SUGAR COATED",ORAL
51662-1517,0.9% SODIUM CHLORIDE,0.9% SODIUM CHLORIDE,"HF Acquisition Co LLC, DBA HealthFirst","INJECTION, SOLUTION",INTRAVENOUS
51672-1409,Ibuprofen,Ibuprofen,"Sun Pharmaceutical Industries, Inc.",SUSPENSION,ORAL
51759-710,ustekinumab-aekn,Ustekinumab-aekn,"Teva Pharmaceuticals USA, Inc.","INJECTION, SOLUTION",SUBCUTANEOUS
53228-231,Benzethonium Chloride,finipil 4 men only,"Equibal, Inc.",LIQUID,TOPICAL
53499-0232,GUAIFENESIN,Air Power,"Schwabe North America, Inc",TABLET,ORAL
53645-2511,Acer Radix-Cinis 26X,Acer Radix-Cinis 26X,"True Botanica, LLC",LIQUID,ORAL
53942-421,"Aspirin, Citric Acid, Sodium Bicarbonate",Market Basket Effervescent Antacid and Pain Relief,"Demoulas Super Markets, Inc.","TABLET, EFFERVESCENT",ORAL
54738-030,Calcium Carbonate,ANTACID,"Richmond Pharmaceuticals, Inc.","TABLET, CHEWABLE",ORAL
54860-554,alcohol,Smart Care Hand Sanitizer Rosebud,"Shenzhen Lantern Scicence Co.,Ltd.",SPRAY,TOPICAL
55111-273,Naproxen Sodium,Naproxen Sodium,Dr.Reddy's Laboratories Limited,"TABLET, COATED",ORAL
54092-189,mesalamine,Pentasa,"Takeda Pharmaceuticals America, Inc.",CAPSULE,ORAL
54340-131,BENZALKONIUM CHLORIDE,Dial Antibacterial Defense Orchid Rose Bliss Scent,Henkel Corporation,SOLUTION,TOPICAL
85163-009,GLYCERIN,OUHOE Para Crescimento,"Shantou Ouhoe Technology Co., Ltd.",LIQUID,TOPICAL
0781-3443,Fondaparinux Sodium,Fondaparinux Sodium,Sandoz Inc.,INJECTION,SUBCUTANEOUS
0781-3520,Pemetrexed disodium,Pemetrexed,Sandoz Inc.,"INJECTION, SOLUTION",INTRAVENOUS
0781-4027,Chlorpromazine Hydrochloride,Chlorpromazine Hydrochloride,"Sandoz, Inc.",CONCENTRATE,ORAL
85437-008,Halobetasol propionate,Halobetasol Propionate,"Coral Way Pharma, LLC",LOTION,TOPICAL
85510-101,Loratadine,SinuLief,RoseWell Pharmaceuticals LLC,TABLET,ORAL
85599-211,"Titanium Dioxide, Zinc Oxide",Instantly Dry,CLEAN BEAUTY BY ANAK LLC,"AEROSOL, FOAM",TOPICAL
85742-009,Lacosamide,Lacosamide,Kanchan Healthcare Inc,"TABLET, FILM COATED",ORAL
85766-192,Diclofenac Sodium/Misoprostol,Diclofenac Sodium/Misoprostol DICLOFENAC-SODIUM-MISOPROSTOL,Sportpharm LLC,TABLET,ORAL
85816-5059,Hypericum,BM Hypericum,BM Private Limited,GLOBULE,ORAL
85891-007,Isopropyl Alcohol,FLORONA ACTILIFE 70% ISOPROPYL RUBBING ALCOHOL,SPARROW LIFE CARE PRIVATE LIMITED,LIQUID,TOPICAL
87036-027,Palmitoyl Tripeptide-8,ODLUMIVIE Peptide CalmMist,ODLUMIVIE,SPRAY,CUTANEOUS
87137-101,Lidocaine HCL,Lidocaine HCL,"Matthias Therapeutics, LLC",CREAM,TOPICAL
87261-100,PYRITHIONE ZINC,Dermgentle Seborrheic Face Cream,Dermgentle LLC,CREAM,TOPICAL
87421-810,70% Isopropyl Alcohol,70% Isopropyl Alcohol,"Greatdealson, Inc.",SOLUTION,TOPICAL
87681-002,"MENTHOL, CAMPHOR",RAVYNDRA Magnesium Cream,"Guangzhou Xinhongda Trading Service Co., Ltd.",CREAM,TOPICAL
98132-297,Titanium Dioxide,bareMinerals Complexion Rescue Brightening Concealer SPF 25 Deep Sienna,Orveon Global US LLC,LIQUID,TOPICAL
0078-1287,amlodipine valsartan and hydrochlorothiazide,,Novartis Pharmaceuticals Corporation,"TABLET, FILM COATED",
0310-6360,dapagliflozin and metformin hydrochloride,,AstraZeneca Pharmaceuticals LP,"TABLET, FILM COATED, EXTENDED RELEASE",
0591-0794,Dicyclomine Hydrochloride,,"Actavis Pharma, Inc.",CAPSULE,
10695-001,Leucovorin Calcium,,"Willow Birch Pharma, Inc.",POWDER,
10888-8176,acetaminophen and diphenhydramine hydrochloride,,Patheon Softgels Inc.,"TABLET, COATED",
11014-0447,viloxazine hydrochloride,,"Catalent Pharma Solutions, LLC","CAPSULE, EXTENDED RELEASE",
11722-077,Risedronate Sodium,,TAPI Croatia Industries Ltd.,POWDER,
12658-0556,ACETAZOLAMIDE,,ZAKLADY FARMACEUTYCZNE POLPHARMA S A,POWDER,
0904-6931,Polyethylene glycol 3350,Polyethylene glycol 3350,Major Pharmaceuticals,"POWDER, FOR SOLUTION",ORAL
0904-6992,PREGABALIN,PREGABALIN,Major Pharmaceuticals,CAPSULE,ORAL
17337-0020,Fluoxetine Hydrochloride,,Olon SpA,POWDER,
17381-024,Bupivacaine,,Siegfried Evionnaz SA,POWDER,
24002-0018,LATANOPROST,,NEWCHEM SPA,OIL,
14593-944,Lisinopril,,Emcure Pharmaceuticals Limited,POWDER,
16436-0087,Desvenlafaxine Succinate,,Medichem Manufacturing (Malta) Ltd.,POWDER,
33342-604,Vardenafil Hydrochloride Trihydrate,,Vardenafil Hydrochloride Trihydrate,POWDER,
38779-0770,Trimethoprim,,Medisca Inc.,POWDER,
41699-2000,Bacitracin,,"Lifecome Biochemistry Co., Ltd",POWDER,
42571-278,Telmisartan,,Micro Labs Limited,POWDER,
42973-389,Phentolamine Mesylate,,Apicore Pharmaceuticals Private Limited,"INJECTION, POWDER, FOR SOLUTION",
43742-1761,Chlamydia Trachomatis,,"Deseret Biologicals, Inc.",LIQUID,
43742-2128,"Candida Albicans, Candida Albicans DNA",,Deseret Biologicals,LIQUID,
43898-0131,Formoterol Fumarate Dihydrate,,Lusochimica SPA,POWDER,
46016-3672,LURASIDONE HYDROCHLORIDE,,PROCOS S.p.A.,POWDER,
47049-008,Valbenazine,,Patheon France S.A.S,CAPSULE,
49867-0065,ATOMOXETINE HYDROCHLORIDE,,Apotex Inc.,POWDER,
50396-7004,Hydrocortisone,,Sanofi chimie,POWDER,
48087-0158,OXCARBAZEPINE,,F.I.S. FABBRICA ITALIANA SINTETICI S.P.A.,POWDER,
49405-001,Melarsomine Dihydrochloride,,Sentio BioSciences LLC,POWDER,
49452-7528,Sildenafil Citrate,,"Spectrum Laboratory Products, Inc.",POWDER,
51114-0222,"acetaminophen, chlorpheniramine maleate, dextromethorphan hydrobromide, phenylephrine hydrochloride",,Vovantis Laboratories Private Limited,"TABLET, EFFERVESCENT",
51606-002,Benzalkonium Chloride,,"Organo Sintesis, S.A. de C.V.","SOLUTION, CONCENTRATE",
51927-0150,FLUOCINOLONE ACETONIDE,,Professional Compounding Centers of America,POWDER,
51927-1565,METHOTREXATE,,Professional Compounding Centers of America dba PCCA,POWDER,
0990-7715,MANNITOL,Mannitol,ICU Medical Inc.,"INJECTION, SOLUTION",INTRAVENOUS
0990-7967,"SODIUM CHLORIDE, SODIUM ACETATE ANHYDROUS, SODIUM GLUCONATE, POTASSIUM CHLORIDE, AND MAGNESIUM CHLORIDE",Normosol-R,ICU Medical Inc.,"INJECTION, SOLUTION",INTRAVENOUS
61755-908,cemiplimab,,"Regeneron Pharmaceuticals, Inc.",SOLUTION,
62207-234,acetaminophen,,Granules India Limited,"TABLET, EXTENDED RELEASE",
62512-0080,Sertraline Hydrochloride,,Amoli Organics (A Division of Umedica Laboratories Pvt.Ltd.),POWDER,
62982-024,"CANDIDA ALBICANS, WOOD CREOSOTE, SODIUM CHLORIDE, and SULFUR",,"Deseret Laboratories, Inc.",TABLET,
62993-0806,MONTELUKAST SODIUM,,Morepen Laboratories Limited,POWDER,
53069-0850,Lansoprazole micronized,,Quimica Sintetica S.A.,POWDER,
53335-0005,Metoprolol Succinate,,Benechim,POWDER,
54236-120,Trofinetide,,FLAMMA S.P.A.,POWDER,
54893-0049,Ibrutinib (Form-A),,MSN Laboratories Private Limited,POWDER,
55111-882,Pregabalin,,Dr.Reddy's laboratories Limited,POWDER,
58159-063,Methsuximide,,NURAY CHEMICALS PRIVATE LIMITED,POWDER,
58621-003,DEHYDRATED ALCOHOL,,Piramal Pharma Solutions Inc.,INJECTION,
55525-0001,Levofloxacin,,Zhejiang Langhua Pharmaceutical Co. Ltd.,POWDER,
57298-802,Pancrelipase,,Adare Pharmaceuticals Srl,CAPSULE,
57741-3700,Cariprazine Hydrochloride,,Maprimed S.A.,POWDER,
59116-4970,Soluble Ferric Pyrophosphate,,"Cambrex Charles City, Inc",POWDER,
59651-089,Leuprolide Acetate,,Aurobindo Pharma Limited,POWDER,
59651-976,Ciprofloxacin Hydrochloride,,Aurobindo Pharma Limited,"TABLET, FILM COATED",
60422-290,Emicizumab,,"Chugai Pharmaceutical Co., Ltd.","INJECTION, SOLUTION",
60870-0468,Asenapine Maleate,,Aspen Oss B.V.,POWDER,
70600-018,Carbidopa,,Maithri Drugs Private Limited,POWDER,
71052-079,Progesterone,,"DARMERICA, LLC",POWDER,
68554-0001,Bicalutamide (Form-H1),,Hetero Labs Limited,POWDER,
68981-001,SILDENAFIL CITRATE,,Xenex Laboratories Inc,POWDER,
69497-0103,"Human Papillomavirus 9-valent Vaccine, Recombinant",,MSD Ireland (Carlow),"INJECTION, SUSPENSION",
69988-0006,Bexarotene,,"Catalent Micron Technologies, Inc.",POWDER,
64805-0302,(Ge-68) Germanium Chloride/(Ga-68) Gallium Chloride,,Institut National des Radio-Elements,SOLUTION,
65089-0039,Dorzolamide Hydrochloride,,Curia Spain S.A.U.,POWDER,
63285-891,"relugolix, estradiol hemihydrate, and norethindrone acetate",,"Patheon, Inc.","TABLET, FILM COATED",
10237-869,Aluminum Chlorohydrate,UltraMax Invisible Solid - Fresh Antiperspirant Deodorant Fresh,"Church & Dwight Co., Inc.",STICK,TOPICAL
64162-0219,Zinc Acetate,,Global Calcium Private Limited,POWDER,
10345-953,"OCTINOXATE, OCTISALATE, TITANIUM DIOXIDE, ZINC OXIDE",ERBORIAN CC Red Correct Color Correcting SPF 25,LABORATOIRES M&L,CREAM,TOPICAL
65372-1113,Risedronate Sodium,,Jubilant Biosys limited,POWDER,
65691-0062,Nebivolol Hydrochloride,,Cadila Pharmaceuticals Limited,POWDER,
65862-043,Lisinopril and Hydrochlorothiazide,,Aurobindo Pharma Limited,TABLET,
65862-426,Pantoprazole Sodium Sesquihydrate,,Aurobindo Pharma Limited,POWDER,
65862-790,Pregabalin,,Aurobindo Pharma Limited,POWDER,
66022-0106,Eszopiclone,,Symed Labs Limited,POWDER,
66218-200,Calcium Carbonate granulated with maltodextrin granule,,"J.M. Huber Micropowders, Inc.",GRANULE,
66620-600,Chlorpheniramine Maleate,,GREEN WAVES PRIVATE LIMITED,POWDER,
67651-0327,sufentanil,,Patheon Pharmaceuticals Inc.,TABLET,
68210-4072,Guaifenesin and Dextromethorphan HBr,,"Prodose, Inc.","CAPSULE, GELATIN COATED",
61957-3028,"OCTISALATE, TITANIUM DIOXIDE",FOREVER Transfer-proof 24h foundation High perfection Concentrated floral skincare with sunscreen Broad spectrum SPF 15 2W,Parfums Christian Dior,EMULSION,TOPICAL
61973-400,Sunscreen Lip Balm,Arizona Sun Prickly Pear Lip Balm SPF 15,Arizona Sun Products,LIPSTICK,TOPICAL
62106-1143,"Inula helenium Root, Juniperus communis berry, Uva-ursi Leaf, Dulcamara Stem and Leaf, Cytisus scoparius Aerial Parts, Stigmata maidis Style and Stigma, Argentum metallicum, Aurum metallicum",Unda 44,Seroyal USA,LIQUID,ORAL
62135-489,Diethylpropion Hydrochloride,Diethylpropion Hydrochloride ER,"Chartwell RX, LLC.","TABLET, EXTENDED RELEASE",ORAL
62332-116,Metoprolol Tartrate and Hydrochlorothiazide,Metoprolol Tartrate and Hydrochlorothiazide,Alembic Pharmaceuticals Inc.,TABLET,ORAL
62135-781,MONTELUKAST SODIUM,MONTELUKAST SODIUM,"Chartwell RX, LLC","TABLET, CHEWABLE",ORAL
62207-320,IBUPROFEN,IBUPROFEN,Granules India Limited,TABLET,ORAL
62332-582,Lidocaine and Prilocaine,Lidocaine and Prilocaine,Alembic Pharmaceuticals Inc.,CREAM,TOPICAL
62559-196,Lorazepam,Lorazepam,"ANI Pharmaceuticals, Inc.",TABLET,ORAL
0031-8726,dextromethorphan polistirex,Childrens Robitussin 12 Hour Cough Relief,Haleon US Holdings LLC,"SUSPENSION, EXTENDED RELEASE",ORAL
62670-6945,Alcohol,Anti Bacterial Hand Gel Fresh Sparkling Snow,"Bath & Body Works, Inc.",GEL,TOPICAL
0268-2001,"Cat Hair, Standardized","Cat Hair, Standardized","ALK-Abello, Inc.",SOLUTION,PERCUTANEOUS
63029-592,salicylic acid,Compound W Maximum Strength Fast Acting Liquid,Medtech Products Inc.,LIQUID,TOPICAL
63083-2148,Fibrous Breast Drops,Fibrous Breast Drops 2148,Professional Complementary Health Formulas,LIQUID,ORAL
63083-7406,L-Glutamine High,L-Glutamine High 7406,Professional Complementary Health Formulas,LIQUID,ORAL
63148-326,Bwenzalkonium Chloride,Hyvee LHS,Apollo Health and Beauty Care,LIQUID,TOPICAL
63629-4697,Lamotrigine,Lamotrigine,Bryant Ranch Prepack,TABLET,ORAL
63629-8520,NYSTATIN,NYSTATIN,Bryant Ranch Prepack,SUSPENSION,ORAL
63629-8885,Hydrocodone Bitartrate and Acetaminophen,Hydrocodone Bitartrate and Acetaminophen,Bryant Ranch Prepack,TABLET,ORAL
63667-676,MENTHOL,NATURAL LEMON MINT HERB THROAT DROPS,Ricola USA Inc.,LOZENGE,ORAL
63187-431,Ziprasidone HCl,ziprasidone hydrochloride,Proficient Rx LP,CAPSULE,ORAL
63187-795,Sertraline Hydrochloride,Sertraline Hydrochloride,Proficient Rx LP,TABLET,ORAL
63304-735,Esomeprazole magnesium,Esomeprazole magnesium,"Sun Pharmaceutical Industries, Inc","CAPSULE, DELAYED RELEASE",ORAL
63323-851,Hydromorphone Hydrochloride,Hydromorphone Hydrochloride,"Fresenius Kabi USA, LLC","INJECTION, SOLUTION","INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS"
63479-0104,"ALLIUM CEPA, ALLIUM SATIVUM, ALOE SOCOTRINA, ARSENICUM IODATUM, ASTERIAS RUBENS, BAPTISIA TINCTORIA, CALCAREA IODATA, CANDIDA ALBICANS, CARBO VEGETABILIS, CHELIDONIUM MAJUS, CINA, CINCHONA OFFICINALIS, COLCHICUM AUTUMNALE, ECHINACEA ANGUSTIFOLIA, ECHINACEA PURPUREA, INDOLUM, LAC VACCINUM, LACTICUM ACIDUM, MILLEFOLIUM, SACCHARUM OFFICINALE, SARCOLACTICUM ACIDUM, SCROPHULARIA NODOSA, SKATOLUM, SOLIDAGO VIRGAUREA, SULPHUR, URICUM ACIDUM",A04 DEEP ANTITOX,Apex Energetics Inc.,SOLUTION/ DROPS,SUBLINGUAL
63545-101,Argentum Iodatum,Argentum Iodatum,"Hahnemann Laboratories, Inc.",PELLET,ORAL
63323-411,MIDAZOLAM HYDROCHLORIDE,Midazolam,"Fresenius Kabi USA, LLC","INJECTION, SOLUTION","INTRAMUSCULAR, INTRAVENOUS"
63545-326,Bromoethanum,Bromoethanum,"Hahnemann Laboratories, INC.",PELLET,ORAL
